libseccomp2:amd64	2.6.0-2
libselinux1:amd64	3.8.1-1
libsemanage-common	3.8.1-1
libsemanage2:amd64	3.8.1-1
libsepol2:amd64	3.8.1-1
libsframe1:amd64	2.44-3
libslang2:amd64	2.3.3-5+b2
libslirp0:amd64	4.8.0-1+deb13u1
libsmartcols1:amd64	2.41.5-0+deb13u1
libsodium-dev:amd64	1.0.18-1+deb13u1
libsodium23:amd64	1.0.18-1+deb13u1
libsqlite3-0:amd64	3.46.1-7+deb13u1
libss2:amd64	1.47.2-3+b11
libssh2-1-dev:amd64	1.11.1-1+deb13u1
libssh2-1t64:amd64	1.11.1-1+deb13u1
libssl-dev:amd64	3.5.7-1~deb13u2
libssl3t64:amd64	3.5.7-1~deb13u2
libstdc++-14-dev:amd64	14.2.0-19
libstdc++6:amd64	14.2.0-19
libsystemd-dev:amd64	257.13-1~deb13u1
libsystemd-shared:amd64	257.13-1~deb13u1
libsystemd0:amd64	257.13-1~deb13u1
libtasn1-6:amd64	4.20.0-2+deb13u1
libtasn1-6-dev:amd64	4.20.0-2+deb13u1
libtext-charwidth-perl:amd64	0.04-11+b4
libtext-wrapi18n-perl	0.06-10
libtinfo6:amd64	6.5+20250216-2
libtirpc-common	1.3.6+ds-1
libtirpc3t64:amd64	1.3.6+ds-1
libtool	2.5.4-4
libtsan2:amd64	14.2.0-19
libubsan1:amd64	14.2.0-19
libuchardet0:amd64	0.0.8-1+b2
libudev1:amd64	257.13-1~deb13u1
libunbound8:amd64	1.22.0-2+deb13u3
libunistring5:amd64	1.3-2
libunwind8:amd64	1.8.1-0.1
liburcu8t64:amd64	0.15.2-2
liburing2:amd64	2.9-1
libusb-1.0-0:amd64	2:1.0.28-1
libusbredirparser1t64:amd64	0.15.0-1
libuuid1:amd64	2.41.5-0+deb13u1
libuv1t64:amd64	1.50.0-2
libvdeplug2t64:amd64	4.0.1-5.1+b1
libwrap0:amd64	7.6.q-36
libwtmpdb0:amd64	0.73.0-3+deb13u1
libxml2:amd64	2.12.7+dfsg+really2.9.14-2.1+deb13u3
libxml2-dev:amd64	2.12.7+dfsg+really2.9.14-2.1+deb13u3
libxmlada-dom9:amd64	25.0.0-4
libxmlada-input8:amd64	25.0.0-4
libxmlada-sax8:amd64	25.0.0-4
libxmlada-schema8:amd64	25.0.0-4
libxmlada-unicode8:amd64	25.0.0-4
libxtables12:amd64	1.8.11-2
libxxhash-dev:amd64	0.8.3-2
libxxhash0:amd64	0.8.3-2
libyaml-0-2:amd64	0.2.5-2
libzstd-dev:amd64	1.5.7+dfsg-1
libzstd1:amd64	1.5.7+dfsg-1
linux-base	4.12.1
linux-image-6.12.107+deb13-cloud-amd64	6.12.107-1
linux-image-cloud-amd64	6.12.107-1
linux-libc-dev	6.12.107-1
linux-sysctl-defaults	4.12.1
live-build	1:20250505+deb13u1
locales	2.41-12+deb13u3
login	1:4.16.0-2+really2.41.5-0+deb13u1
login.defs	1:4.17.4-2
logsave	1.47.2-3+b11
lsb-release	12.1-1
m4	1.4.19-8
make	4.4.1-2
man-db	2.13.1-1
manpages	6.9.1-1
mawk	1.3.4.20250131-1
media-types	13.0.0
mokutil	0.7.2-1
mount	2.41.5-0+deb13u1
mtools	4.0.48-1
nano	8.4-1+deb13u1
ncurses-base	6.5+20250216-2
ncurses-bin	6.5+20250216-2
netbase	6.5
netcat-openbsd	1.229-1
netplan-generator	1.1.2-7
